bookid,bookname,author,binding,bindingname,press,price,prodnum,newminprice,newprodnum,oldminprice,oldprodnum,pubdate,qualityname,bigimgurl,smallimgurl,subtitle,updatetime,detail_url
56430192,资本论（第一卷）,中共中央马克思恩格斯列宁斯大林著作编译局  译,精装,,人民出版社,45.00,72,20.25,17,9.80,55,2004-01,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/user/0/8aa4/8aa417bb30c6aa221d15e25125a3e22b_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/user/0/8aa4/8aa417bb30c6aa221d15e25125a3e22b_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/56430192.html
41648923,资本论,[德]马克思  著；姜晶花、张梅  译,平装,,北京出版社,21.80,5,15.00,1,7.00,4,2007-10,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/4bce/4bced150b659b3abd734970a86c0ad41_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/4bce/4bced150b659b3abd734970a86c0ad41_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/41648923.html
29448359,资本论（全三册）,[德]马克思  著；郭大力、王亚南  译,平装,,上海三联书店,158.00,107,50.00,32,10.00,75,2009-04,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/9f67/9f67df26c98a29164d38360dfdbee6ee_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/9f67/9f67df26c98a29164d38360dfdbee6ee_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/29448359.html
23366773,资本论（第二卷）,中共中央马克思恩格斯列宁斯大林著作编译局  编,精装,,人民出版社,35.00,30,17.15,9,10.00,21,2004-01,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/1bc0/1bc04189ce02af4bd7fa172012439d94_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/1bc0/1bc04189ce02af4bd7fa172012439d94_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/23366773.html
26399414,资本论（第三卷）,中共中央马克思恩格斯列宁斯大林著作编译局  编,精装,,人民出版社,55.00,95,25.30,28,7.00,67,2004-01,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/6161/61618c81ef53231a357a2974e118c1ff_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/6161/61618c81ef53231a357a2974e118c1ff_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/26399414.html
48024957,资本论,[德]马克思  著；曾令先、卞彬、金永  译,平装,,人民日报出版社,65.00,55,22.69,5,3.00,50,2006-02,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/7659/76598228e308e10195a179b2cb36af6a_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/7659/76598228e308e10195a179b2cb36af6a_0_0_0_0.jpg,插图缩译本,早于2007年,http://item.kongfz.com/book/48024957.html
53491215,资本论  第一卷,[德]卡尔·马克思,其他,,人民出版社,2.30,39,0.00,0,2.00,39,1975-06,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/ff4c/ff4c2d6bd2317bedc36c026c1c60ca3f_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/ff4c/ff4c2d6bd2317bedc36c026c1c60ca3f_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/53491215.html
60321426,资本论（第二卷）,[德]卡尔·马克思,精装,,人民出版社,24.10,12,0.00,0,8.00,12,1975-06,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/29d3/29d325580ec46ecf262ecd91cae871c4_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/29d3/29d325580ec46ecf262ecd91cae871c4_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/60321426.html
65396019,《资本论》节选本,中共中央马克思恩格斯列宁斯大林著作编译局  编,平装,,人民出版社,26.00,7,21.10,1,10.00,6,1998-12,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/3e0a/3e0a83e6d15c776523e550d894133ffe_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/3e0a/3e0a83e6d15c776523e550d894133ffe_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/65396019.html
26959270,资本论,[德]卡尔·马克思  著；朱登  译,平装,,南海出版公司,58.00,33,7.00,4,4.90,29,2012-06,,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/939a/939a598e3e11a13a3849a886bf9229f6_0_0_0_0.jpg,http://booklibimg.kfzimg.com/data/book_lib_img_v2/isbn/0/939a/939a598e3e11a13a3849a886bf9229f6_0_0_0_0.jpg,,早于2007年,http://item.kongfz.com/book/26959270.html
