公司全名,公司简称,公司规模,融资阶段,区域,行业,职位名称,工作性质,一级类别,二级类别,工作经验,学历要求,工资,职位福利,工作年限,经验要求,salary,月工资
广州臻爱教育科技有限公司,臻爱教育,少于15人,未融资,海珠区,教育,产品经理/助理 Product Manager,全职,产品/需求/项目类,产品设计/需求分析,不限,大专,8k-15k,"五险一金,享双休年假,学习空间大,快乐工作",[],0.0,"['8', '15']",9.75
广州康乐富健康管家有限公司,康乐富,150-500人,不需要融资,天河区,"医疗健康,生活服务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,大专,6k-12k,"弹性上下班,双休,发展空间大,自我实现","['3', '5']",4.0,"['6', '12']",7.5
广东世纪晓教育科技有限公司,晓教育,2000人以上,不需要融资,天河区,教育,产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,10k-15k,"风口行业,年终奖,员工旅游,行业前三","['1', '3']",2.0,"['10', '15']",11.25
广东链动网络科技有限公司,链动科技,50-150人,不需要融资,海珠区,"移动互联网,电子商务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,5-10年,大专,15k-25k,"五险一金,周末双休,发展空间","['5', '10']",7.5,"['15', '25']",17.5
广东智源信息技术有限公司,广东智源,50-150人,不需要融资,越秀区,"移动互联网,企业服务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,不限,硕士,5k-10k,"月度活动,年度旅游,绩效奖金,五险一金",[],0.0,"['5', '10']",6.25
广州拓欧信息技术有限公司,RIB建筑软件集团,150-500人,上市公司,萝岗区,移动互联网,产品经理（造价方向）,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,10k-15k,班车接送，加班少，周末双休，工作氛围轻松,"['3', '5']",4.0,"['10', '15']",11.25
广州牧云网络科技有限公司,美甲帮,150-500人,B轮,天河区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,10k-15k,"发挥空间大,项目靠谱,具有挑战性","['3', '5']",4.0,"['10', '15']",11.25
广州线条信息科技有限公司,SuperADS,50-150人,A轮,天河区,"移动互联网,广告营销",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,12k-20k,"午餐晚餐,双休,年终奖励","['3', '5']",4.0,"['12', '20']",14.0
广州云移信息科技有限公司,掌贝（云移科技）,500-2000人,B轮,,"移动互联网,O2O",产品经理,全职,产品,产品经理,1-3年,本科,14k-25k,五险一金、弹性工作、年终奖等42项福利,"['1', '3']",2.0,"['14', '25']",16.75
广州智选网络科技有限公司,广州智选网络科技有限公司,50-150人,A轮,天河区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,10k-15k,"弹性工作制,年底双薪,年终旅游","['1', '3']",2.0,"['10', '15']",11.25
广州火舞软件开发股份有限公司,火舞游戏,150-500人,上市公司,天河区,游戏,产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,大专,15k-20k,"双休,五险一金,发展空间大,平台好","['1', '3']",2.0,"['15', '20']",16.25
广州数夫软件科技有限公司,数夫软件,150-500人,未融资,天河区,移动互联网,产品经理,全职,产品/需求/项目类,项目管理,3-5年,本科,10k-18k,"五险一金,双休,弹性工作制,即将上市","['3', '5']",4.0,"['10', '18']",12.0
广州健联科技有限公司,广州健联,50-150人,A轮,白云区,"移动互联网,电子商务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,大专,10k-16k,"周末双休,五险一金,下午茶,公司聚会","['3', '5']",4.0,"['10', '16']",11.5
广州龙腾出行网络科技股份有限公司,龙腾出行,150-500人,上市公司,越秀区,"O2O,旅游",产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,大专,7k-10k,"上市公司,高新企业,福利齐全,六险一金","['1', '3']",2.0,"['7', '10']",7.75
广东壹健康科技有限公司,壹健康,500-2000人,不需要融资,天河区,医疗健康,产品经理,全职,产品/需求/项目类,产品设计/需求分析,5-10年,大专,9k-15k,"五险一金,节日福利","['5', '10']",7.5,"['9', '15']",10.5
广州逸趣信息科技有限公司,Offerslook,50-150人,天使轮,天河区,"移动互联网,广告营销",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,10k-20k,"美女如云,老板好,人性化管理,福利多多","['3', '5']",4.0,"['10', '20']",12.5
广州心与潮信息科技有限公司,心潮,15-50人,A轮,天河区,"移动互联网,医疗健康",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,大专,15k-25k,"心理科技化,技术氛围好,晋升空间大,有发展前景","['3', '5']",4.0,"['15', '25']",17.5
北京公瑾科技有限公司广州分公司,公瑾,500-2000人,B轮,天河区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,5-10年,本科,15k-20k,"周末双休,五险一金,季度奖金,氛围好","['5', '10']",7.5,"['15', '20']",16.25
广州油菜花信息科技有限公司,油菜花科技,50-150人,未融资,番禺区,"移动互联网,文化娱乐",产品经理,全职,产品,产品经理,5-10年,本科,10k-15k,五险一金、年底双至七薪、国外观摩、深造,"['5', '10']",7.5,"['10', '15']",11.25
广州汇电云联互联网科技有限公司,汇电云联,50-150人,B轮,天河区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,10k-15k,"不打卡,扁平化,氛围好,高温补贴","['3', '5']",4.0,"['10', '15']",11.25
深圳格莱珉文化传播有限公司广州分公司,MAKA,50-150人,A轮,海珠区,"企业服务,移动互联网",产品经理,全职,产品,产品经理,1-3年,本科,10k-20k,六险一金 周末双休 带薪年假 员工旅游,"['1', '3']",2.0,"['10', '20']",12.5
广州三尺信息科技有限公司,三尺科技,50-150人,A轮,天河区,"移动互联网,企业服务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,7k-13k,"自家产品,开展空间大,用户规模大,技术大牛","['1', '3']",2.0,"['7', '13']",8.5
广州博鳌纵横网络科技有限公司,汇桔网,2000人以上,C轮,萝岗区,"企业服务,O2O",产品经理,全职,产品/需求/项目类,产品设计/需求分析,5-10年,本科,15k-20k,待遇优厚、朝阳行业、五险一金、股票期权,"['5', '10']",7.5,"['15', '20']",16.25
广州前实网络科技有限公司,前实科技,50-150人,A轮,白云区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,大专,10k-15k,"地铁近,福利待遇好,办公室高大,五险一金","['3', '5']",4.0,"['10', '15']",11.25
广州集客网络科技有限公司,集客网络,50-150人,不需要融资,白云区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,12k-20k,"扁平管理,带薪年假,年底分红,氛围融洽","['3', '5']",4.0,"['12', '20']",14.0
竞优（广州）信息技术有限公司,竞优软件,150-500人,上市公司,天河区,"企业服务,信息安全",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,大专,10k-20k,"六险一金,年底奖金,双休,发展前景好","['3', '5']",4.0,"['10', '20']",12.5
广东奕佳建设工程有限公司,奕佳,150-500人,不需要融资,黄埔区,其他,产品经理,全职,其它,房地产|建筑业,不限,不限,5K-8K,面谈,[],0.0,"['5', '8']",5.75
广州优盟广告策划有限公司,优盟广告,15-50人,未融资,番禺区,广告营销,产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,12k-15k,"和微信合作,绩效奖金,竞争力工资,技术氛围浓","['1', '3']",2.0,"['12', '15']",12.75
广东天泽阳光康众医疗投资管理有限公司,阳光康众,50-150人,A轮,海珠区,"移动互联网,医疗健康",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,大专,10k-20k,"七险一金,双休,节日福利","['3', '5']",4.0,"['10', '20']",12.5
铂涛信息技术（广州）有限公司,铂涛旅行,500-2000人,未融资,海珠区,"移动互联网,旅游",产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,10k-15k,"五险一金,绩效奖金,周末双休,超一亿会员","['1', '3']",2.0,"['10', '15']",11.25
