公司全名,公司简称,公司规模,融资阶段,区域,行业,职位名称,工作性质,一级类别,二级类别,工作经验,学历要求,工资,职位福利,工作年限,经验要求,salary,月工资
深圳广联赛讯有限公司,广联赛讯,150-500人,A轮,南山区,移动互联网,数据分析,全职,产品/需求/项目类,数据分析,1年以下,硕士,8k-12k,"周末双休,朝九晚六,五险一金",['1'],1.0,"['8', '12']",9.0
深圳市紫川软件有限公司,紫川软件,500-2000人,不需要融资,福田区,"电子商务,金融",数据分析师,全职,开发/测试/运维类,数据开发,3-5年,本科,9k-14k,周末双休 五险一金 员工旅游,"['3', '5']",4.0,"['9', '14']",10.25
试金石信用服务有限公司,试金石信用,50-150人,不需要融资,南山区,"数据服务,移动互联网",数据分析师,全职,运营,运营,3-5年,本科,15k-30k,行业前景好、大牛团队,"['3', '5']",4.0,"['15', '30']",18.75
深圳市迅雷网络技术有限公司,迅雷,500-2000人,上市公司,南山区,移动互联网,数据分析,全职,产品/需求/项目类,数据分析,3-5年,本科,15k-30k,大流量平台,"['3', '5']",4.0,"['15', '30']",18.75
深圳赫美智慧科技有限公司,赫美智科,500-2000人,B轮,福田区,金融,数据分析师,全职,产品/需求/项目类,数据分析,不限,本科,6k-8k,互联网金融 上市公司 加班少 晋升空间,[],0.0,"['6', '8']",6.5
深圳市小牛在线互联网信息咨询有限公司,小牛在线,150-500人,不需要融资,南山区,金融,数据分析师,全职,开发/测试/运维类,数据开发,3-5年,本科,15k-20k,"公司发展好,部门成长性,领导好,氛围好","['3', '5']",4.0,"['15', '20']",16.25
深圳市环球易购电子商务有限公司,环球易购,2000人以上,上市公司,南山区,电子商务,数据分析师,全职,市场与销售,市场/营销,不限,本科,5k-8k,上市公司 福利待遇优厚,[],0.0,"['5', '8']",5.75
平安银行股份有限公司信用卡中心（简称：平安银行信用卡中心）,平安银行信用卡中心,500-2000人,上市公司,南山区,金融,数据分析师,全职,产品/需求/项目类,数据分析,不限,本科,15k-30k,"大数据,信用卡,海量数据,银行",[],0.0,"['15', '30']",18.75
深圳白骑士大数据有限公司,深圳白骑士大数据有限公司,50-150人,A轮,南山区,"企业服务,金融",数据分析师,全职,技术,后端开发,3-5年,本科,15k-30k,"平台大,创新型,有挑战","['3', '5']",4.0,"['15', '30']",18.75
深圳一叶知秋网络科技有限公司,一叶知秋,150-500人,D轮及以上,龙岗区,电子商务,数据分析师,全职,开发/测试/运维类,数据开发,3-5年,本科,6k-12k,"有好奇心,对数据敏感,沟通强,思维强","['3', '5']",4.0,"['6', '12']",7.5
招联消费金融有限公司,招联金融,500-2000人,不需要融资,南山区,金融,数据分析工程师,全职,技术,后端开发,3-5年,本科,18k-28k,初创公司，朝阳行业，广阔的发展空间,"['3', '5']",4.0,"['18', '28']",20.5
众安在线财产保险股份有限公司,众安保险,2000人以上,上市公司,南山区,金融,数据分析师,全职,产品/需求/项目类,数据分析,3-5年,本科,9k-10k,"餐补,通讯补贴,五险一金,下午茶","['3', '5']",4.0,"['9', '10']",9.25
深圳市小满科技有限公司,小满科技,150-500人,C轮,南山区,"企业服务,数据服务",数据分析师,全职,综合职能类,财务,5-10年,本科,12k-24k,"有晋升,老板好,发展快","['5', '10']",7.5,"['12', '24']",15.0
深圳市和讯华谷信息技术有限公司,极光,500-2000人,D轮及以上,南山区,"移动互联网,数据服务",极光调研 - 数据分析师,全职,开发/测试/运维类,数据开发,1-3年,本科,10k-20k,"业界第一,14薪+,牛逼团队,D轮+","['1', '3']",2.0,"['10', '20']",12.5
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,南山区,"移动互联网,数据服务",数据分析师,全职,市场/商务/销售类,管理岗,1-3年,本科,8k-12k,六险一金，餐补，带薪休假，扁平管理，过亿用户，职业大牛，晋升空间,"['1', '3']",2.0,"['8', '12']",9.0
深圳一叶知秋网络科技有限公司,一叶知秋,150-500人,D轮及以上,龙岗区,电子商务,数据分析员,全职,综合职能类,财务,1-3年,本科,6k-12k,"细心,耐心,勤劳,勤快","['1', '3']",2.0,"['6', '12']",7.5
深圳小鹅网络技术有限公司,小鹅（小鹅通）,50-150人,A轮,南山区,"移动互联网,社交网络",数据分析师,全职,开发/测试/运维类,数据开发,1-3年,本科,10k-20k,"技术大牛,90后,年底双薪,腾讯系","['1', '3']",2.0,"['10', '20']",12.5
深圳市联翘科技有限公司,联翘科技,150-500人,天使轮,南山区,电子商务,数据分析师,全职,运营/编辑/客服,审核,1-3年,大专,7k-10k,"薪资待遇好,年轻团队,晋升空间大,环境优美","['1', '3']",2.0,"['7', '10']",7.75
深圳市恒信永利金融服务有限公司,恒信永利,2000人以上,不需要融资,南山区,金融,数据分析师,全职,金融类,风控,3-5年,不限,15k-25k,"可发挥空间,团队优秀,技术前沿","['3', '5']",4.0,"['15', '25']",17.5
天下支付科技有限公司,天下支付,150-500人,不需要融资,福田区,"移动互联网,金融",数据分析员,全职,产品/需求/项目类,数据分析,1-3年,本科,6k-12k,"团队旅游,帅哥美女,定期体检","['1', '3']",2.0,"['6', '12']",7.5
海南新浪爱问普惠科技有限公司,海南新浪爱问普惠科技有限公司,150-500人,未融资,南山区,金融,数据分析师,全职,产品/需求/项目类,数据分析,3-5年,本科,15k-20k,"年终奖,餐补,员工旅游,年度体检","['3', '5']",4.0,"['15', '20']",16.25
北京通力互联技术服务有限公司,通力互联,2000人以上,不需要融资,南山区,"电子商务,企业服务",数据分析,全职,产品/需求/项目类,数据分析,1-3年,大专,6k-9k,"五险一金,上下班车,早晚餐,培训机制","['1', '3']",2.0,"['6', '9']",6.75
