公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
广州拓欧信息技术有限公司,RIB建筑软件集团,150-500人,上市公司,萝岗区,产品经理（造价方向）,3-5年,本科,10k-15k,班车接送，加班少，周末双休，工作氛围轻松
广州康乐富健康管家有限公司,康乐富,150-500人,不需要融资,天河区,产品经理,3-5年,大专,6k-12k,"弹性上下班,双休,发展空间大,自我实现"
广州线条信息科技有限公司,SuperADS,50-150人,A轮,天河区,产品经理,3-5年,本科,12k-20k,"午餐晚餐,双休,年终奖励"
广东智源信息技术有限公司,广东智源,50-150人,不需要融资,越秀区,产品经理,不限,硕士,5k-10k,"月度活动,年度旅游,绩效奖金,五险一金"
广州数夫软件科技有限公司,数夫软件,150-500人,未融资,天河区,产品经理,3-5年,本科,10k-18k,"五险一金,双休,弹性工作制,即将上市"
广州市吉特品牌管理有限公司,吉特品牌,少于15人,不需要融资,萝岗区,APP产品经理,3-5年,硕士,10k-20k,"时间灵活,轻松年轻,美女多,股份期权"
广州火舞软件开发股份有限公司,火舞游戏,150-500人,上市公司,天河区,产品经理,1-3年,大专,15k-20k,"双休,五险一金,发展空间大,平台好"
广州牧云网络科技有限公司,美甲帮,150-500人,B轮,天河区,产品经理,3-5年,本科,10k-15k,"发挥空间大,项目靠谱,具有挑战性"
广州健联科技有限公司,广州健联,50-150人,A轮,白云区,产品经理,3-5年,大专,10k-16k,"周末双休,下午茶,年度旅游,年底分红"
广州龙腾出行网络科技股份有限公司,龙腾出行,150-500人,上市公司,越秀区,产品经理,1-3年,大专,7k-10k,"上市公司,高新企业,福利齐全,六险一金"
广州一智通供应链管理有限公司,一智通,150-500人,B轮,天河区,产品经理,1-3年,本科,10k-15k,"互联网,供应链,公司发展快,大牛多"
广东正品信息科技有限公司,正品集团,150-500人,未融资,天河区,产品经理,3-5年,不限,12k-20k,"产品10人,技术80人,移动电商,新零售"
广州麦多特投资有限公司,麦多特,15-50人,不需要融资,萝岗区,产品经理,1年以下,本科,8k-13k,"14天年假,境外游,Mac办公,期权激励"
广东省电信规划设计院有限公司,设计院,2000人以上,上市公司,天河区,产品经理,3-5年,本科,9k-15k,"周末双休,节日福利,高温补贴,带薪年假"
广州哈家信息科技有限公司,哈家科技,50-150人,天使轮,,产品经理,3-5年,本科,15k-25k,"每周双休,绩效奖金,轻松氛围"
广州富米科技有限公司,一手服装批发APP,150-500人,A轮,荔湾区,产品经理,1-3年,本科,20k-30k,"项目前景好,团队活跃,市场空间大"
广州骏睿信息科技有限公司,广州骏睿,少于15人,天使轮,天河区,产品经理,1-3年,本科,10k-15k,"五险一金,期权鼓励,节日福利,带薪年假"
广州博鳌纵横网络科技有限公司,汇桔网,2000人以上,C轮,萝岗区,产品经理,5-10年,本科,15k-20k,待遇优厚、朝阳行业、五险一金、股票期权
北京公瑾科技有限公司广州分公司,公瑾,500-2000人,B轮,天河区,产品经理,5-10年,本科,15k-20k,"周末双休,五险一金,季度奖金,氛围好"
广州智悦网络科技有限公司,智悅网络,50-150人,A轮,天河区,产品经理,1-3年,本科,8k-15k,"扁平管理,五险一金,年终奖,期权奖励"
深圳格莱珉文化传播有限公司广州分公司,MAKA,50-150人,A轮,海珠区,产品经理,1-3年,本科,10k-20k,六险一金 周末双休 带薪年假 员工旅游
广东壹健康科技有限公司,壹健康,500-2000人,不需要融资,天河区,产品经理,5-10年,大专,9k-15k,"五险一金,节日福利"
广州集客网络科技有限公司,集客网络,50-150人,不需要融资,白云区,产品经理,3-5年,本科,12k-20k,"扁平管理,带薪年假,年底分红,氛围融洽"
广州逸趣信息科技有限公司,Offerslook,50-150人,天使轮,天河区,产品经理,3-5年,本科,10k-20k,"美女如云,老板好,人性化管理,福利多多"
恒峰信息技术有限公司,恒峰信息,150-500人,上市公司,萝岗区,产品经理,不限,大专,10k-15k,专业团队 年轻活力 朝阳业务 价值导向
广东天泽阳光康众医疗投资管理有限公司,阳光康众,50-150人,A轮,海珠区,产品经理,3-5年,大专,10k-20k,"七险一金,双休,节日福利"
广州智安天使网络科技有限公司,智安天使科技,50-150人,不需要融资,天河区,产品经理,1-3年,大专,7k-8k,"周末双休,五险一金,高温补贴,节假日福利"
万惠投资管理有限公司,PPmoney互联网金融平台,500-2000人,上市公司,天河区,产品经理 (大及贷),3-5年,本科,13k-25k,"大公司平台,晋升快,薪资高,福利非常多"
广州傲银信息科技有限责任公司,傲银科技,15-50人,未融资,海珠区,产品经理,3-5年,本科,10k-15k,"发展空间大,周末双休,五险一金,福利完善"
竞优（广州）信息技术有限公司,竞优软件,150-500人,上市公司,天河区,产品经理,3-5年,大专,10k-20k,"六险一金,年底奖金,双休,发展前景好"
广州富米科技有限公司,一手服装批发APP,150-500人,A轮,荔湾区,产品经理,3-5年,本科,15k-25k,"项目靠谱,市场空间大,牛逼团队"
广州博鳌纵横网络科技有限公司,汇桔网,2000人以上,C轮,萝岗区,产品经理,1-3年,本科,8k-15k,"朝阳行业,周末双休,班车餐补,五险一金"
广州智美时代科技有限公司,智美时代,15-50人,未融资,天河区,产品经理,3-5年,本科,10k-20k,"周末双休,五险一金,年终奖"
广州朗国电子科技有限公司,朗国科技,50-150人,未融资,天河区,产品经理,1-3年,本科,6k-8k,"在职期权,福利好,配车,项目奖"
广州市卓越里程教育科技股份有限公司,卓越教育集团,2000人以上,不需要融资,越秀区,产品经理,1-3年,本科,9k-12k,"公司平台大,晋升通道"
广州财略金融信息科技有限公司,AI考拉,50-150人,A轮,海珠区,产品经理,1-3年,大专,7k-14k,"发展空间大,绩效奖金,年度旅游,丰盛下午茶"
广州柏视医疗科技有限公司,柏视医疗,15-50人,A轮,海珠区,产品经理,3-5年,本科,15k-25k,"人工智能,顶级团队,高成长,前沿行业"
佛山市咔嚓购信息技术有限公司,酒咔嚓,15-50人,A轮,越秀区,产品经理,3-5年,本科,8k-15k,喝着世界级美酒快乐工作！
东怡源科技（广州）有限公司,东怡源,15-50人,未融资,南沙区,产品经理,3-5年,本科,18K-25K,"五险,员工旅游,定期体检,包吃包住"
广州爱范儿科技股份有限公司,爱范儿,50-150人,上市公司,海珠区,产品经理,1-3年,本科,8k-12k,"大牛多,环境好,周末双休,五险一金"
氪金信息科技（天津）有限公司,Codrim,15-50人,天使轮,天河区,产品经理,不限,大专,5k-10k,"五险一金,周末双休,活动多,团队有活力"
腾宇融资租赁（广州）有限公司,腾宇科技,50-150人,不需要融资,天河区,产品经理,1-3年,大专,8k-12k,"发展平台广,薪酬福利好,地铁周边,周末双休"
万惠投资管理有限公司,PPmoney互联网金融平台,500-2000人,上市公司,天河区,产品经理,3-5年,本科,15k-25k,"互联网化,用户思维,产品设计"
广东省电信规划设计院有限公司,设计院,2000人以上,上市公司,天河区,产品经理,1-3年,本科,8k-12k,"周末双休,高温补贴,节日补贴,发展平台"
广州探迹科技有限公司,探迹,50-150人,B轮,番禺区,产品经理-大数据人工智能产品,1-3年,本科,10k-20k,"大数据AI,带薪年假,期权激励,五险一金"
广州博鳌纵横网络科技有限公司,汇桔网,2000人以上,C轮,天河区,产品经理,3-5年,本科,10k-20k,"发展空间,五险一金,股票期权,周末双休"
铂涛信息技术（广州）有限公司,铂涛旅行,500-2000人,未融资,海珠区,产品经理,1-3年,本科,10k-15k,"五险一金,绩效奖金,周末双休,超一亿会员"
广州云徙科技有限公司,云徙科技,150-500人,A轮,黄埔区,产品经理,3-5年,本科,13k-25k,A轮融资 待遇优厚 福利健全 股权激励
广州汇电云联互联网科技有限公司,汇电云联,50-150人,B轮,天河区,产品经理,3-5年,本科,10k-15k,"不打卡,扁平化,氛围好,高温补贴"
